"Element","status","datetime","date","time","datetime10mins","B22"
"MDC_MDC AC Filter 22 VS","UIT",2016-11-10 10:51:42,"10/11/2016","10:51:42",2016-11-10 10:50:00,"UIT"
"MDC_MDC AC Filter 22 VS","UIT",2016-12-24 13:03:48,"24/12/2016","13:03:48",2016-12-24 13:00:00,"UIT"
"MDC_MDC AC Filter 22 VS","UIT",2017-01-26 17:34:06,"26/1/2017 ","17:34:06",2017-01-26 17:30:00,"UIT"
"MDC_MDC AC Filter 22 VS","UIT",2017-02-22 05:23:36,"22/2/2017 ","5:23:36 ",2017-02-22 05:20:00,"UIT"
"MDC_MDC AC Filter 22 VS","UIT",2017-03-13 06:00:34,"13/3/2017 ","6:00:34 ",2017-03-13 06:00:00,"UIT"
"MDC_MDC AC Filter 22 VS","UIT",2017-04-13 00:00:47,"13/4/2017 ","0:00:47 ",2017-04-13 00:00:00,"UIT"
